id_item_a,id_item_b
15,7155
16,4065
23,7203
35,7330
45,4122
64,5275
76,1730
83,1066
83,6551
92,900
103,1580
108,5953
113,1067
115,6931
129,6966
132,7079
132,8587
144,4798
162,7165
171,5989
183,2336
189,1766
196,4671
204,4074
207,2136
216,2049
243,1879
258,304
264,9214
271,5390
271,7304
278,1209
286,900
289,9689
303,4853
308,5271
309,7681
313,9327
321,1326
328,7772
334,8214
342,7070
343,4211
366,8210
377,2374
378,4997
381,500
384,7661
385,2169
386,5664
395,7117
405,6885
422,4747
423,2816
433,6796
442,4906
443,1223
443,7132
450,5055
464,9911
468,4681
490,3563
506,1447
524,773
534,6042
538,3903
545,6034
551,2018
557,6426
574,2561
577,992
578,4594
582,833
610,6623
614,7504
629,5075
630,1976
644,8179
651,1503
652,8424
655,4295
665,3944
667,9598
682,3327
701,1978
707,8562
726,9952
732,2315
757,5578
771,1957
784,5508
790,6850
806,2456
808,5287
817,6795
817,7222
822,7334
826,5722
847,7724
852,8736
862,8848
868,3283
909,3465
916,5314
924,5503
950,5134
957,7093
965,4479
982,8929
1011,1878
1051,6706
1097,3471
1111,2539
1116,7900
1122,5738
1132,5982
1137,5452
1137,9908
1155,9057
1156,9964
1168,6175
1180,4298
1180,4389
1187,6115
1202,3575
1207,9962
1211,8533
1236,2599
1243,5361
1273,6380
1304,7834
1318,2265
1321,5241
1324,1430
1324,1994
1334,4652
1338,6478
1343,1527
1345,2484
1359,9233
1370,4821
1391,2588
1392,5977
1410,3732
1414,7608
1431,6774
1522,6886
1526,7327
1527,3079
1536,6277
1545,2239
1548,1704
1553,7271
1554,9037
1560,7256
1572,7470
1581,7417
1595,4699
1619,8990
1624,3165
1628,8293
1661,3382
1679,9120
1690,3962
1708,6589
1709,5211
1722,3169
1742,8734
1748,7074
1762,2933
1763,9495
1769,5194
1832,6102
1849,4421
1858,5007
1885,6146
1922,3619
1943,7709
1952,8130
1963,9458
1966,3385
1994,6624
1995,2369
1999,3522
2020,3697
2029,4108
2040,4274
2080,5379
2083,4310
2084,8683
2095,4686
2121,2506
2130,6030
2130,9671
2188,6958
2217,4694
2224,8585
2228,9444
2229,9918
2259,8485
2261,2955
2291,5570
2296,3334
2316,6585
2317,5733
2318,4301
2348,9938
2371,7612
2385,7519
2386,9835
2387,6433
2396,7161
2399,4465
2400,8025
2448,2817
2488,9633
2492,5013
2530,8647
2542,4931
2545,2608
2551,4837
2570,2778
2581,6417
2588,5111
2598,9537
2616,7435
2622,4606
2628,7118
2632,7895
2641,9292
2661,7382
2665,4446
2694,4342
2701,8981
2703,4203
2705,5737
2711,4846
2733,8147
2739,8570
2746,5643
2746,7672
2785,3620
2808,3728
2828,7111
2911,9047
2926,6093
2926,7410
2940,7758
2941,7462
2941,7636
2943,5372
2951,6627
2955,5496
2971,4102
2971,9162
2971,9999
2982,8806
3058,3747
3082,7693
3083,9739
3088,9025
3207,5349
3213,9742
3216,6329
3216,6717
3245,8068
3251,4108
3283,3666
3285,4385
3292,7580
3334,9291
3391,3409
3398,8903
3406,9106
3409,4970
3428,8593
3452,7597
3470,8405
3471,5764
3496,7027
3514,5097
3531,9472
3562,9006
3569,9404
3570,3639
3572,9552
3613,8154
3621,8030
3643,4772
3651,5323
3666,4923
3672,4986
3690,5077
3700,8484
3703,7306
3709,9154
3724,7766
3725,7657
3733,6170
3777,5017
3778,3975
3785,5843
3796,9192
3798,9416
3826,8451
3849,7099
3853,8732
3854,5740
3861,8172
3877,9125
3903,4292
3909,9573
3920,5783
3931,5091
3940,9968
3944,7719
3968,5929
3983,8097
3989,7022
3992,8535
4006,7964
4013,7189
4047,5794
4050,4427
4086,7130
4153,6667
4161,8207
4161,9552
4174,6207
4187,6250
4249,7830
4273,8348
4282,9565
4285,7392
4286,5937
4294,7452
4307,8778
4356,4629
4359,8558
4361,4444
4365,7339
4373,4885
4408,7602
4443,9533
4496,8268
4502,5679
4502,6146
4528,7634
4541,5685
4545,7036
4571,8091
4592,6837
4616,5179
4626,5375
4633,6203
4651,9138
4657,6622
4720,6837
4733,5495
4745,7737
4778,6763
4780,6528
4824,6265
4855,9021
4875,7072
4876,8533
