id,valor,peso,volumen,categoria
0,723,134,139,6
1,235,46,98,1
2,124,8,58,4
3,165,3,26,9
4,715,177,78,8
5,789,97,104,10
6,371,172,84,11
7,637,87,73,1
8,76,29,131,2
9,986,25,70,9
10,40,28,75,5
11,493,99,25,5
12,138,49,49,7
13,800,192,64,4
14,731,12,112,0
15,383,190,85,0
16,609,162,117,7
17,500,39,60,8
18,636,189,89,7
19,166,12,72,11
20,598,58,4,0
21,561,166,143,9
22,208,92,145,4
23,353,29,93,6
24,448,58,16,1
25,130,174,122,0
26,639,46,2,2
27,283,76,17,10
28,285,2,112,1
29,646,177,135,2
30,291,50,16,10
31,529,68,17,7
32,821,85,140,9
33,507,17,73,7
34,314,103,104,4
35,330,116,19,8
36,678,34,34,4
37,410,20,114,2
38,91,89,114,10
39,290,148,35,4
40,850,137,129,11
41,723,63,9,5
42,79,144,125,3
43,713,70,106,8
44,139,116,65,2
45,545,153,94,3
46,940,82,84,1
47,85,38,2,7
48,396,163,104,6
49,464,162,130,9
50,713,57,41,3
51,346,189,2,2
52,718,4,138,4
53,175,156,34,3
54,84,140,5,3
55,551,25,101,1
56,417,14,79,8
57,700,72,42,2
58,334,177,18,9
59,673,152,82,8
60,40,74,5,9
61,21,30,50,3
62,580,20,45,2
63,719,41,110,1
64,259,97,96,4
65,311,71,39,9
66,791,198,104,4
67,496,169,45,2
68,940,73,116,2
69,812,121,73,7
70,904,177,148,4
71,497,128,97,7
72,602,29,72,7
73,496,65,58,3
74,358,199,45,10
75,439,94,58,0
76,284,79,9,6
77,104,180,112,8
78,313,59,138,0
79,685,45,54,0
80,459,84,87,10
81,610,2,147,7
82,673,75,44,0
83,353,195,145,3
84,178,3,90,10
85,54,172,123,0
86,397,19,80,11
87,270,42,113,1
88,32,60,136,0
89,60,20,14,5
90,352,142,143,0
91,971,128,29,10
92,239,85,115,8
93,35,137,125,11
94,21,3,101,0
95,120,143,24,11
96,651,199,57,9
97,449,148,142,9
98,403,178,14,8
99,694,152,134,7
100,393,20,137,3
101,797,166,135,1
102,266,54,25,2
103,831,72,60,4
104,638,88,22,8
105,32,98,141,8
106,19,51,108,5
107,414,179,115,11
108,257,4,102,2
109,331,50,146,3
110,873,86,108,6
111,339,11,101,5
112,555,163,142,7
113,167,151,94,4
114,735,124,126,0
115,990,169,28,9
116,754,79,62,4
117,933,146,136,4
118,634,117,4,3
119,321,49,126,1
120,338,136,59,3
121,27,71,2,2
122,488,23,107,8
