id_item_a,id_item_b
0,362
0,440
0,587
0,922
1,145
1,240
1,340
1,508
1,546
1,621
1,667
2,45
2,848
2,892
2,893
3,48
3,170
3,250
3,359
3,504
3,597
4,310
4,486
4,652
5,139
5,281
5,287
5,503
6,25
6,253
6,417
6,762
7,254
7,410
8,121
8,367
8,381
8,721
8,896
8,902
9,152
9,631
10,176
10,411
10,488
10,529
10,620
10,895
10,925
10,977
11,770
11,803
12,150
12,244
13,443
13,484
14,59
14,132
14,331
14,566
14,860
15,22
15,678
16,286
16,339
16,482
16,509
16,561
16,980
17,77
17,119
17,803
17,868
18,22
18,250
18,362
18,414
18,802
18,809
19,404
19,553
20,573
20,663
20,835
20,921
21,60
21,209
21,519
22,110
22,153
22,445
22,536
22,601
22,691
23,118
23,233
23,510
23,609
23,629
23,866
23,965
24,250
24,594
24,639
24,699
24,794
24,972
25,30
25,71
25,168
25,219
25,317
25,588
25,627
26,61
26,329
26,362
26,581
26,654
26,659
26,969
27,276
27,469
27,583
27,733
27,750
28,143
28,786
28,887
29,58
29,250
29,295
29,379
29,407
29,602
29,934
30,111
30,167
30,347
30,620
30,667
30,670
30,845
31,573
31,584
31,786
31,854
32,464
32,517
32,559
32,909
33,173
33,636
33,673
33,712
33,970
33,985
34,268
34,321
34,324
34,487
34,517
34,557
34,588
34,755
34,971
35,412
35,806
35,811
35,890
36,68
36,160
36,388
36,746
36,864
37,143
37,362
37,448
37,700
37,887
39,331
39,678
39,955
39,988
40,206
40,208
40,263
40,696
41,433
41,517
41,617
42,128
42,377
42,430
43,100
43,343
43,788
44,66
44,217
44,836
45,149
45,403
45,526
46,80
46,209
46,798
47,472
47,738
48,89
48,328
48,368
48,378
48,538
48,684
48,818
48,823
48,931
48,968
49,886
50,80
50,88
50,246
50,355
50,420
51,192
51,440
51,484
51,665
52,215
52,364
52,738
52,784
52,796
52,952
53,140
53,585
53,698
54,401
54,499
54,670
54,841
54,876
54,904
55,368
55,395
55,524
55,535
55,864
55,954
56,72
56,411
56,471
56,491
56,583
56,704
56,863
57,153
57,327
57,561
58,259
58,425
58,432
58,469
58,507
58,676
59,130
59,244
59,530
59,920
59,970
60,324
60,418
60,570
60,583
60,638
61,306
61,601
62,328
62,560
62,745
62,873
62,893
62,932
63,157
63,163
63,507
63,679
63,894
64,328
64,369
64,664
64,673
64,784
65,130
65,148
65,242
65,413
65,470
65,558
66,855
67,260
67,270
67,313
67,653
67,683
67,705
67,718
67,863
67,900
67,906
68,195
68,542
68,737
68,750
68,997
69,259
69,339
69,361
69,579
69,796
69,927
70,333
70,437
70,722
70,789
71,120
71,414
72,348
72,480
72,483
72,940
73,97
73,100
73,117
73,186
74,207
74,254
74,593
74,767
75,92
75,101
75,135
75,330
75,459
75,674
75,954
76,794
76,823
76,849
77,78
77,472
78,141
78,469
78,524
78,744
79,98
79,774
80,105
80,551
80,607
80,838
80,944
