id_item_a,id_item_b
0,42
0,55
0,70
1,71
1,85
3,28
3,42
3,52
4,33
4,60
4,69
5,35
5,39
5,46
5,90
6,11
8,35
8,85
9,14
13,14
13,48
13,76
13,84
13,85
14,33
14,65
15,92
16,24
16,55
16,98
17,33
18,70
19,30
19,34
19,88
20,22
20,89
20,94
22,74
22,94
22,95
24,32
24,84
25,28
25,85
26,43
26,45
26,55
26,91
29,39
31,34
31,87
32,62
33,64
33,81
35,98
36,38
36,77
37,70
38,51
38,64
38,70
38,78
39,85
40,84
40,93
41,52
41,83
42,51
42,52
42,79
44,55
44,58
44,82
45,99
46,55
47,74
48,86
49,73
51,65
51,89
52,71
53,85
54,81
54,90
55,77
56,59
56,70
66,68
67,83
68,86
69,90
70,95
72,78
74,77
79,95
81,87
85,94
87,92
