id,valor,peso,volumen,categoria
0,40,2,24,0
1,99,15,5,1
2,74,44,24,0
3,9,38,14,0
4,34,6,7,0
5,76,39,1,4
6,94,46,21,1
7,62,27,8,4
8,5,18,26,4
9,48,45,14,1
10,48,10,7,2
11,17,6,13,0
12,38,23,20,2
13,73,47,15,0
14,75,25,3,0
15,51,41,20,2
16,13,13,23,4
17,42,43,8,0
18,17,15,28,0
19,86,18,15,3
20,50,11,12,2
21,94,43,9,1
22,26,39,21,0
23,25,47,8,4
24,86,25,9,3
25,46,15,22,4
26,9,15,27,0
27,13,26,9,2
28,96,37,29,1
29,68,14,21,2
30,23,42,15,3
31,100,9,8,2
32,100,35,9,4
33,79,28,29,4
34,22,24,8,3
35,11,32,3,4
36,25,10,21,0
37,54,39,3,3
38,72,39,15,3
39,6,36,28,2
40,73,44,29,0
41,48,50,21,2
42,25,19,14,0
43,97,1,24,3
44,27,33,25,2
45,85,7,28,4
46,82,41,17,2
47,25,10,12,1
48,72,50,30,4
49,67,39,11,0
50,51,8,30,0
51,35,16,2,2
52,98,6,3,4
53,73,5,25,3
54,65,9,22,1
55,72,11,9,4
56,74,28,7,4
57,56,46,10,1
58,71,29,29,2
59,33,8,8,3
60,80,22,1,0
61,33,15,19,4
62,85,5,23,0
63,9,15,3,0
64,35,5,17,2
65,32,43,16,2
66,78,9,24,4
67,65,31,8,4
68,17,13,4,3
69,57,23,14,3
70,91,47,2,3
71,98,4,13,0
72,29,7,8,2
73,22,35,15,1
74,64,12,9,3
75,75,5,15,1
76,74,4,21,0
77,35,6,30,0
78,66,27,16,1
79,12,26,29,1
80,54,25,1,1
81,59,30,10,2
82,67,43,23,4
83,32,13,10,1
84,74,38,24,0
85,12,48,11,0
86,69,38,16,0
87,70,11,2,4
88,81,12,3,0
89,35,44,28,0
90,77,8,29,3
91,10,38,20,1
92,89,6,14,4
93,45,37,17,4
94,96,14,22,2
95,55,16,9,2
96,43,43,21,1
97,14,21,30,3
98,77,30,20,0
99,32,5,18,0
